,Artist,Song
232,Michael Sembello,Maniac
233,Toto Coelo,I Eat Cannibals
234,Fiction Factory,(Feels Like) Heaven
235,Frida,I Know There's Something Going On
236,Re-Flex,The Politics of Dancing
237,Martin Briley,The Salt in My Tears
238,Peter Schilling,Major Tom (Coming Home)
239,Taco,Puttin' On the Ritz
240,Shannon,Let the Music Play
241,Big Country,In a Big Country
242,Kajagoogoo,Too Shy
243,Matthew Wilder,Break My Stride
244,Nena,99 Luftballons
245,Murray Head,One Night in Bangkok
246,Jump 'n the Saddle Band,The Curly Shuffle
247,John Waite,Missing You
248,The Icicle Works,Birds Fly (Whisper to a Scream)
249,Scandal,The Warrior
250,Romeo Void,A Girl in Trouble (Is a Temporary Thing)
251,Nik Kershaw,Wouldn't It Be Good
252,Rockwell,Somebody's Watching Me
253,A-ha,Take on Me
254,Laid Back,White Horse
255,Mike Reno,Almost Paradise
256,Animotion,Obsession
257,General Public,Tenderness
258,Jack Wagner,All I Need
259,Dead or Alive,You Spin Me Round (Like a Record)
260,Philip Bailey,Easy Lover
261,Talk Talk,It's My Life
262,Mary Jane Girls,In My House
263,Face to Face,10-9-8
264,Autograph,Turn Up the Radio
265,Baltimora,Tarzan Boy
266,Robin George,[393]
267,Maria Vidal,Body Rock
268,Billy Crystal,[389]
269,Yello,Oh Yeah
270,'Til Tuesday,Voices Carry
271,Eddie Murphy,Party All the Time
272,Harold Faltermeyer,Axel F
273,Force MDs,Tender Love
274,Scritti Politti,Perfect Way
275,Simple Minds,Don't You (Forget About Me)
276,Godley & Creme,Cry
277,Paul Hardcastle,19
278,The Dream Academy,Life in a Northern Town
279,Chicago Bears Shufflin' Crew (1985 Chicago Bears team),The Super Bowl Shuffle
280,Clarence Clemons,You're a Friend of Mine
281,Jermaine Stewart,We Don't Have to Take Our Clothes Off
282,Boys Don't Cry,I Wanna Be a Cowboy
283,Opus,Live is Life
284,Swing Out Sister,Breakout
285,Nancy Martinez,[411]
286,The Blow Monkeys,Digging Your Scene
287,Gloria Loring,Friends and Lovers
288,The Georgia Satellites,Keep Your Hands to Yourself
289,Don Johnson,Heartbeat
290,Chris de Burgh,The Lady in Red
291,The Fabulous Thunderbirds,Tuff Enuff
292,Device,[179]
293,Robbie Nevil,C'est La Vie
294,Timex Social Club,Rumors
295,Timbuk 3,"The Future's So Bright, I Gotta Wear Shades"
296,Stacey Q,Two of Hearts
297,Cutting Crew,(I Just) Died in Your Arms
298,Pseudo Echo,Funkytown
299,"Oran ""Juice"" Jones",The Rain
300,Nu Shooz,I Can't Wait
301,World Party,Ship of Fools
302,Double,Captain of Her Heart
303,Honeymoon Suite,Feel It Again
304,XTC,Dear God
305,The Communards,Don't Leave Me This Way
